161 0 0 0 2.4 2 1 1 1 0 0
161 1 1 0 1.75 2 1 1 1 1 0
161 2 2 0 1.6 2 1 1 1 2 0
161 3 3 0 1.6 2 1 1 1 3 0
161 4 4 0 2.4 2 1 1 1 4 0
161 5 5 0 2 2 1 1 1 5 0
161 6 5 1 1.4 2 1 1 1 5 1
167 0 0 0 2.8 2 2 1 0 0 0
167 1 1 0 3 2 2 1 0 1 0
167 2 2 0 999 2 2 1 0 2 0
167 3 3 0 999 2 2 1 0 3 0
167 4 4 0 999 2 2 1 0 4 0
167 5 5 0 999 2 2 1 0 5 0
167 6 5 1 999 2 2 1 0 5 1
168 0 0 0 3.8 1 2 1 0 0 0
168 1 1 0 2.8 1 2 1 0 1 0
168 2 2 0 4 1 2 1 0 2 0
168 3 3 0 3.2 1 2 1 0 3 0
168 4 4 0 3.4 1 2 1 0 4 0
168 5 5 0 2.2 1 2 1 0 5 0
168 6 5 1 2.2 1 2 1 0 5 1
171 0 0 0 3 2 1 1 1 0 0
171 1 1 0 2.6 2 1 1 1 1 0
171 2 2 0 2.2 2 1 1 1 2 0
171 3 3 0 999 2 1 1 1 3 0
171 4 4 0 999 2 1 1 1 4 0
171 5 5 0 999 2 1 1 1 5 0
171 6 5 1 999 2 1 1 1 5 1
173 0 0 0 2.6 1 1 1 1 0 0
173 1 1 0 2.6 1 1 1 1 1 0
173 2 2 0 999 1 1 1 1 2 0
173 3 3 0 999 1 1 1 1 3 0
173 4 4 0 999 1 1 1 1 4 0
173 5 5 0 999 1 1 1 1 5 0
173 6 5 1 999 1 1 1 1 5 1
176 0 0 0 2.8 2 2 1 1 0 0
176 1 1 0 999 2 2 1 1 1 0
176 2 2 0 999 2 2 1 1 2 0
176 3 3 0 999 2 2 1 1 3 0
176 4 4 0 999 2 2 1 1 4 0
176 5 5 0 999 2 2 1 1 5 0
176 6 5 1 999 2 2 1 1 5 1
177 0 0 0 2.4 2 1 2 1 0 0
177 1 1 0 999 2 1 2 1 1 0
177 2 2 0 999 2 1 2 1 2 0
177 3 3 0 999 2 1 2 1 3 0
177 4 4 0 999 2 1 2 1 4 0
177 5 5 0 999 2 1 2 1 5 0
177 6 5 1 999 2 1 2 1 5 1
178 0 0 0 0.6 1 2 2 1 0 0
178 1 1 0 0.2 1 2 2 1 1 0
178 2 2 0 0.4 1 2 2 1 2 0
178 3 3 0 999 1 2 2 1 3 0
178 4 4 0 999 1 2 2 1 4 0
178 5 5 0 999 1 2 2 1 5 0
178 6 5 1 999 1 2 2 1 5 1
181 0 0 0 1.6 2 2 1 0 0 0
181 1 1 0 2.2 2 2 1 0 1 0
181 2 2 0 1.8 2 2 1 0 2 0
181 3 3 0 2.6 2 2 1 0 3 0
181 4 4 0 1.6 2 2 1 0 4 0
181 5 5 0 2 2 2 1 0 5 0
181 6 5 1 1.8 2 2 1 0 5 1
182 0 0 0 2.2 2 2 1 0 0 0
182 1 1 0 2 2 2 1 0 1 0
182 2 2 0 2 2 2 1 0 2 0
182 3 3 0 2 2 2 1 0 3 0
182 4 4 0 1.8 2 2 1 0 4 0
182 5 5 0 1.6 2 2 1 0 5 0
182 6 5 1 1.6 2 2 1 0 5 1
185 0 0 0 1.8 3 1 1 1 0 0
185 1 1 0 2.4 3 1 1 1 1 0
185 2 2 0 2 3 1 1 1 2 0
185 3 3 0 2.2 3 1 1 1 3 0
185 4 4 0 1.6 3 1 1 1 4 0
185 5 5 0 1.4 3 1 1 1 5 0
