1.0021,1.0081,1.0047,1.3733,1.2430,1.1734,1.0033,1.0062,1.0103,1.0036,1.0057,1.0099,1.0258,1.0213,1.0136,1.0027,1.0001,1.0129,1.0038,1.0059,1.0098,1.0257,1.0214,1.0140,1.0028,1.0001,1.0100,1.0086,1.0188,1.0017,1.0027,1.0105,1.0217,1.0509,1.0150,1.0210,1.0082,1.1053,1.0050,1.0012,1.0027,1.0658,1.0146,1.0717,nan,nan,nan
1.0005,1.0151,1.0202,1.1161,1.1884,1.1036,1.0073,1.0113,1.0060,1.0037,1.0028,1.0108,1.0088,1.0064,1.0063,1.0138,1.0046,1.0096,1.0040,1.0032,1.0111,1.0089,1.0064,1.0061,1.0137,1.0047,1.0003,1.0039,1.0116,1.0103,1.0018,1.0013,1.0020,1.0015,1.0019,1.0013,1.0014,1.0046,1.0026,1.0003,1.0010,1.0013,1.0155,1.0048,nan,nan,nan
1.0007,1.0075,1.0089,1.0263,1.0529,1.0113,1.0043,1.0110,1.0009,1.0019,1.0013,1.0081,1.0069,1.0096,1.0079,1.0015,1.0017,1.0013,1.0019,1.0016,1.0083,1.0069,1.0098,1.0076,1.0015,1.0015,1.0036,1.0061,1.0039,1.0073,1.0012,1.0009,1.0052,1.0108,1.0017,1.0042,1.0027,1.0015,1.0032,1.0038,1.0012,1.0134,1.0023,1.0023,nan,nan,nan
1.0012,1.0047,1.0106,1.0548,1.0599,1.0912,1.0030,1.0036,1.0079,1.0004,1.0011,1.0041,1.0023,1.0071,1.0035,1.0065,1.0011,1.0105,1.0006,1.0013,1.0043,1.0023,1.0071,1.0034,1.0065,1.0009,1.0030,1.0068,1.0021,1.0071,1.0034,1.0002,1.0023,1.0016,1.0003,1.0009,1.0014,1.0019,1.0016,1.0029,1.0013,1.0011,1.0020,1.0032,nan,nan,nan
1.0004,1.0026,1.0033,1.0201,1.0073,1.0071,1.0006,1.0024,1.0005,1.0007,1.0024,1.0027,1.0050,1.0036,1.0050,1.0002,1.0010,1.0004,1.0007,1.0025,1.0028,1.0051,1.0036,1.0049,1.0002,1.0009,1.0013,1.0005,1.0017,1.0005,1.0004,1.0009,1.0017,1.0013,1.0003,1.0003,1.0006,1.0036,1.0004,1.0012,1.0016,1.0017,1.0038,1.0072,nan,nan,nan
1.0003,1.0023,1.0013,1.0298,1.0005,1.0081,1.0002,1.0013,1.0026,1.0002,1.0007,1.0018,1.0010,1.0025,1.0012,1.0025,1.0006,1.0026,1.0002,1.0007,1.0018,1.0010,1.0024,1.0013,1.0025,1.0006,1.0003,1.0006,1.0016,1.0001,1.0006,1.0003,1.0025,1.0045,1.0018,1.0018,1.0001,1.0046,1.0001,1.0006,1.0006,1.0050,1.0032,1.0097,nan,nan,nan
1.0000,1.0025,1.0028,1.0138,1.0095,1.0379,1.0017,1.0009,1.0011,1.0011,1.0013,1.0014,1.0062,1.0047,1.0019,1.0013,1.0030,1.0018,1.0011,1.0013,1.0014,1.0062,1.0049,1.0018,1.0013,1.0030,1.0007,1.0006,1.0015,1.0022,1.0003,1.0004,1.0020,1.0020,1.0013,1.0003,1.0001,1.0059,1.0006,1.0006,1.0000,1.0021,1.0021,1.0090,nan,nan,nan
1.0002,1.0009,1.0013,1.0084,1.0163,1.1244,1.0013,1.0011,1.0004,1.0008,1.0009,1.0017,1.0034,1.0037,1.0003,1.0018,1.0019,1.0009,1.0008,1.0008,1.0016,1.0035,1.0038,1.0003,1.0018,1.0019,1.0010,1.0003,1.0042,1.0023,1.0005,1.0007,1.0008,1.0024,1.0015,1.0012,1.0005,1.0028,1.0003,1.0003,1.0001,1.0032,1.0011,1.0055,nan,nan,nan
1.0004,1.0029,1.0023,1.0246,1.0263,1.0460,1.0003,1.0011,1.0004,1.0001,1.0010,1.0041,1.0011,1.0010,1.0004,1.0013,1.0013,1.0007,1.0001,1.0009,1.0041,1.0011,1.0010,1.0004,1.0013,1.0013,1.0009,1.0011,1.0002,1.0010,1.0003,1.0003,1.0005,1.0010,1.0011,1.0005,1.0004,1.0046,1.0000,1.0004,1.0000,1.0012,1.0012,1.0034,nan,nan,nan
1.0001,1.0012,1.0026,1.0353,1.0276,1.0216,1.0004,1.0015,1.0006,1.0005,1.0002,1.0020,1.0024,1.0043,1.0004,1.0016,1.0014,1.0006,1.0005,1.0002,1.0020,1.0024,1.0044,1.0004,1.0016,1.0014,1.0002,1.0012,1.0008,1.0005,1.0003,1.0003,1.0001,1.0001,1.0004,1.0002,1.0001,1.0023,1.0001,1.0002,1.0001,1.0002,1.0003,1.0024,nan,nan,nan
