1.0149,1.0278,1.1564,1.1396,1.0409,1.0530,1.0201,1.0876,1.0092,1.0267,1.0293,1.1340,1.2515,1.0765,1.1287,1.0125,1.0091,1.0053,1.0244,1.0279,1.1343,1.2518,1.0771,1.1295,1.0124,1.0095,1.0396,1.0557,1.0807,1.0592
1.0171,1.0503,1.0446,1.0875,1.0197,1.0081,1.0004,1.0423,1.0124,1.0745,1.0479,1.0009,1.0179,1.0745,1.0097,1.0147,1.0389,1.0139,1.0743,1.0478,1.0009,1.0179,1.0755,1.0095,1.0146,1.0386,1.0498,1.0212,1.0228,1.0019
1.0282,1.0695,1.0683,1.0959,1.0121,1.0254,1.0027,1.0503,1.0138,1.0444,1.0463,1.0124,1.0481,1.0655,1.0023,1.0121,1.0111,1.0192,1.0426,1.0457,1.0122,1.0476,1.0652,1.0021,1.0119,1.0110,1.0477,1.0356,1.0097,1.0146
1.0043,1.0402,1.0168,1.0214,1.0066,1.0187,1.0006,1.0063,1.0039,1.0030,1.0072,1.0038,1.0618,1.0471,1.0040,1.0061,1.0003,1.0033,1.0024,1.0076,1.0036,1.0612,1.0463,1.0039,1.0062,1.0003,1.0089,1.0339,1.0432,1.0122
1.0035,1.0245,1.0285,1.0133,1.0013,1.0044,1.0008,1.0205,1.0007,1.0040,1.0118,1.0110,1.0141,1.0402,1.0292,1.0046,1.0019,1.0017,1.0042,1.0115,1.0107,1.0139,1.0413,1.0293,1.0045,1.0019,1.0108,1.0155,1.0200,1.0053
1.0031,1.0021,1.0067,1.0236,1.0041,1.0043,1.0038,1.0071,1.0006,1.0062,1.0109,1.0035,1.0072,1.0324,1.0050,1.0063,1.0008,1.0025,1.0057,1.0109,1.0035,1.0070,1.0326,1.0049,1.0064,1.0008,1.0054,1.0168,1.0119,1.0118
1.0023,1.0044,1.0156,1.0205,1.0186,1.0086,1.0074,1.0037,1.0009,1.0008,1.0026,1.0173,1.0125,1.0119,1.0241,1.0068,1.0003,1.0001,1.0008,1.0027,1.0172,1.0119,1.0119,1.0244,1.0068,1.0003,1.0044,1.0070,1.0079,1.0140
1.0038,1.0056,1.0100,1.0204,1.0186,1.0026,1.0065,1.0045,1.0014,1.0012,1.0050,1.0187,1.0090,1.0043,1.0060,1.0034,1.0021,1.0029,1.0010,1.0052,1.0187,1.0088,1.0043,1.0059,1.0034,1.0020,1.0195,1.0131,1.0005,1.0145
1.0009,1.0092,1.0081,1.0032,1.0183,1.0394,1.0058,1.0047,1.0005,1.0056,1.0068,1.0102,1.0178,1.0248,1.0240,1.0093,1.0022,1.0004,1.0054,1.0070,1.0103,1.0175,1.0248,1.0243,1.0093,1.0022,1.0109,1.0070,1.0039,1.0088
1.0017,1.0057,1.0052,1.0036,1.0090,1.0330,1.0085,1.0077,1.0023,1.0023,1.0005,1.0152,1.0115,1.0077,1.0247,1.0116,1.0037,1.0035,1.0023,1.0004,1.0152,1.0113,1.0078,1.0253,1.0117,1.0037,1.0111,1.0059,1.0055,1.0132
1.0006,1.0074,1.0059,1.0020,1.0035,1.0079,1.0030,1.0039,1.0019,1.0010,1.0039,1.0067,1.0082,1.0058,1.0017,1.0060,1.0034,1.0055,1.0011,1.0038,1.0067,1.0080,1.0058,1.0019,1.0061,1.0034,1.0113,1.0094,1.0014,1.0138
1.0001,1.0031,1.0045,1.0045,1.0113,1.0126,1.0020,1.0002,1.0005,1.0026,1.0044,1.0127,1.0084,1.0084,1.0059,1.0025,1.0025,1.0008,1.0028,1.0044,1.0129,1.0083,1.0084,1.0059,1.0024,1.0024,1.0098,1.0014,1.0034,1.0026
1.0002,1.0058,1.0042,1.0085,1.0051,1.0166,1.0009,1.0006,1.0009,1.0059,1.0125,1.0200,1.0071,1.0078,1.0106,1.0096,1.0072,1.0011,1.0061,1.0124,1.0200,1.0069,1.0078,1.0107,1.0094,1.0071,1.0054,1.0009,1.0069,1.0030
